,candidate,tweet,date
67,Jon Tester,"BREAKING: WOW The Border Patrol union That endorsed Trump in 2016 The National Border Patrol Council, Just endorsed 3 Senate Democrats Who Trump said Were weak on border security

 Claire McCaskill (D-Mo.), Jon Tester (D-Mont.) and Heidi Heitkamp (D-N.D.), 

THIS IS JUST AWESOME",2018-10-28 23:59:20
68,Jon Tester,"Jon Tester says one thing to voters and does the EXACT OPPOSITE in Washington. Tester takes his orders form Pelosi &amp; Schumer. Tester wants to raise your taxes, take away your 2A, open your borders, and deliver MOB RULE. Retire Tester &amp; Elect America-First Patriot Matt Rosendale!",2018-10-28 23:59:19
69,Jon Tester,"BOOM!! 

The Border Patrol Union that endorsed Trump in 2016, just endorsed 3 major Democrat Senate candidates who Trump has said are weak on border security:  Claire McCaskill, Jon Tester and Heidi Heitkamp!",2018-10-28 23:59:14
70,Matt Rosendale,"MONTANA
U.S. Senate:
Jon Tester (D) 49%
Matt Rosendale (R) 39%
Rick Breckenridge (L) 2%
(U. of Montana Big Sky Poll, LV, 10/10-18/18)",2018-10-28 23:59:27
71,Matt Rosendale,"Jon Tester says one thing to voters and does the EXACT OPPOSITE in Washington. Tester takes his orders form Pelosi &amp; Schumer. Tester wants to raise your taxes, take away your 2A, open your borders, and deliver MOB RULE. Retire Tester &amp; Elect America-First Patriot Matt Rosendale!",2018-10-28 23:59:19
72,Matt Rosendale,"Awesome time in Montana with @drrandpaul stumping for Matt Rosendale @MattForMontana! It’s time to shrink government, put America first and stop the endless spending! Montana needs to send Rosendale to the US Senate and put Tester into retirement! #mt #montana #mtsen https://t.co/FXnpxBsQnA",2018-10-28 23:58:18
73,Matt Rosendale,"Awesome time in Montana with @drrandpaul stumping for Matt Rosendale @MattForMontana! It’s time to shrink government, put America first and stop the endless spending! Montana needs to send Rosendale to the US Senate and put Tester into retirement! #mt #montana #mtsen https://t.co/FXnpxBsQnA",2018-10-28 23:57:54
74,Matt Rosendale,"Awesome time in Montana with @drrandpaul stumping for Matt Rosendale @MattForMontana! It’s time to shrink government, put America first and stop the endless spending! Montana needs to send Rosendale to the US Senate and put Tester into retirement! #mt #montana #mtsen https://t.co/FXnpxBsQnA",2018-10-28 23:56:45
75,Matt Rosendale,"It’s simple: @MattRosendale has made it clear he won’t protect the 152,000 Montanans who have pre-existing conditions. #mtpol #mtsen
https://t.co/56Q4iwCaqY",2018-10-28 23:56:38
76,Matt Rosendale,"Awesome time in Montana with @drrandpaul stumping for Matt Rosendale @MattForMontana! It’s time to shrink government, put America first and stop the endless spending! Montana needs to send Rosendale to the US Senate and put Tester into retirement! #mt #montana #mtsen https://t.co/FXnpxBsQnA",2018-10-28 23:55:19
77,Matt Rosendale,"Awesome time in Montana with @drrandpaul stumping for Matt Rosendale @MattForMontana! It’s time to shrink government, put America first and stop the endless spending! Montana needs to send Rosendale to the US Senate and put Tester into retirement! #mt #montana #mtsen https://t.co/FXnpxBsQnA",2018-10-28 23:54:40
78,Matt Rosendale,"“It’s big, I mean, it’s really big” Rosendale said of the impact the Kavanaugh confirmation had on his race. Rep. Matt Rosendale is running against Dem. Sen. Jon Tester in #Montana. Both camps expect a photo finish. #VoteRedToSaveAmerica #MidtermElections
https://t.co/Ahppifn7na",2018-10-28 23:52:51
79,Matt Rosendale,"It’s simple: @MattRosendale has made it clear he won’t protect the 152,000 Montanans who have pre-existing conditions. #mtpol #mtsen
https://t.co/56Q4iwCaqY",2018-10-28 23:52:35
80,Josh Hawley,"Claire McCaskill / Josh Hawley Final Debate - Sparks Fly - Don’t Get Sidetracked by False Flags

“will you, Senator McCaskill, vote for an all-out ban like you said in last week's Project Veritas video?

#VoteRedToSaveAmerica 

https://t.co/jwnStFepRX",2018-10-28 23:59:30
81,Josh Hawley,"In the MO Senate debate, Josh Hawley bemoaned the closing of a small manufacturer in our hometown. The plant has not closed or laid off workers &amp; received a $1.6MM grant from MO EDC for improvements in July of2017. But please know, his small rural home is very important to him.",2018-10-28 23:58:05
82,Josh Hawley,Josh Hawley is doing everything in his power to eliminate healthcare protections for people with pre-existing conditions. @ClaireCMC is doing everything in her power to stop him. #MOSen https://t.co/wkbFDE7BaR,2018-10-28 23:57:34
83,Josh Hawley,Josh Hawley thinks he can send us back to the bad old days with his lawsuit. @ClaireCMC knows better. #MOSen https://t.co/VaXBd6jozx,2018-10-28 23:57:04
84,Josh Hawley,"In Claire McCaskill's America, our enemies are appeased, good people are smeared, and Hollywood values are celebrated. That's not the America we see. Vote Josh Hawley on November 6th! #MOSen #MOPol #ByeByeClaire",2018-10-28 23:54:46
85,Josh Hawley,"Claire McCaskill / Josh Hawley Final Debate - Sparks Fly - Don’t Get Sidetracked by False Flags

“will you, Senator McCaskill, vote for an all-out ban like you said in last week's Project Veritas video?

#VoteRedToSaveAmerica 

https://t.co/jwnStFepRX",2018-10-28 23:53:55
86,Josh Hawley,"Claire McCaskill / Josh Hawley Final Debate - Sparks Fly - Don’t Get Sidetracked by False Flags

“will you, Senator McCaskill, vote for an all-out ban like you said in last week's Project Veritas video?

#VoteRedToSaveAmerica 

https://t.co/jwnStFepRX",2018-10-28 23:50:53
87,Josh Hawley,"Claire McCaskill / Josh Hawley Final Debate - Sparks Fly - Don’t Get Sidetracked by False Flags

“will you, Senator McCaskill, vote for an all-out ban like you said in last week's Project Veritas video?

#VoteRedToSaveAmerica 

https://t.co/jwnStFepRX",2018-10-28 23:50:44
88,Josh Hawley,"Josh Hawley says only Democrats are fomenting violence, singling Hillary Clinton and Eric Holder out for blame while making no mention of the fact that they both had bombs sent to them, @MelindaKCMO writes. https://t.co/PZ2Q13tFBF",2018-10-28 23:50:42
89,Josh Hawley,"Josh Hawley supports right-to-work(-for-less) in MO, opposes raising the minimum wage, and is currently suing to gut healthcare coverage for nearly 2.5 million Missourians with pre-existing conditions. He's wrong for MO. #MOSen",2018-10-28 23:50:07
90,Claire McCaskill,"This is urgent: Poll after poll shows Claire McCaskill TIED with her extremist GOP opponent in Missouri’s toss-up Senate race. She needs funds to stand up to GOP attack ads, so I promised her that we’d come through. Control of the Senate is at stake. Give now to help Claire win!",2018-10-28 23:59:49
91,Claire McCaskill,"BOOM!! 

The Border Patrol Union that endorsed Trump in 2016, just endorsed 3 major Democrat Senate candidates who Trump has said are weak on border security:  Claire McCaskill, Jon Tester and Heidi Heitkamp!",2018-10-28 23:59:49
