,candidate,tweet,date
61,Jon Tester,"""@realDonaldTrump …. bashed incumbent Democratic @jontester as someone who ‘will listen to whatever Cryin' Chuck tells him to do.’"" #mtpol #mtsen #DefeatTester https://t.co/XS4cbkEAVR",2018-11-04 23:59:06
62,Jon Tester,Kathleen Williams and Jon Tester are significantly better than their opponents. They will be better for all Montanans. My father is a retired Navy Veteran. My family knows veterans' issues. Vote @jontester for United States Senate and @WilliamsForMT for United States House.,2018-11-04 23:58:48
63,Jon Tester,"Protect SS, Medicare and Medicaid get out and vote BLUE! 
Re-elect Blue Senators: Heide Heitkamp for North Dakota, 
Claire McCaskill for Missouri, Joe Donnelly for Indiana, Jon Tester for Montana,
Bob Menendez for New Jersey, Tammy Baldwin for Wisconsin,
Sherrod Brown of Ohio! https://t.co/2TQotnHnWx",2018-11-04 23:58:24
64,Jon Tester,"Democrat Jon Tester isn’t a Trump ally. Just look at his votes on @realDonaldTrump’s nominees:
❌Gorsuch
❌Sec of State – twice
❌CIA Director – twice
❌Sec of Defense (waiver)
❌Treasury Sec
❌Kavanaugh
 
Tester has to go. Vote @MattForMontana! #MTSen
https://t.co/uzWsuLg5I8",2018-11-04 23:58:24
65,Jon Tester,"They may not be able to vote, but #TotsforTester are getting the word out about Jon Tester. After all, this election will affect their generation. #mtpol #mtsen #letsvoteMT https://t.co/1PyOd6baKC",2018-11-04 23:58:23
66,Jon Tester,"Democrat Jon Tester isn’t a Trump ally. Just look at his votes on @realDonaldTrump’s nominees:
❌Gorsuch
❌Sec of State – twice
❌CIA Director – twice
❌Sec of Defense (waiver)
❌Treasury Sec
❌Kavanaugh
 
Tester has to go. Vote @MattForMontana! #MTSen
https://t.co/uzWsuLg5I8",2018-11-04 23:58:22
67,Jon Tester,"Democrat Jon Tester isn’t a Trump ally. Just look at his votes on @realDonaldTrump’s nominees:
❌Gorsuch
❌Sec of State – twice
❌CIA Director – twice
❌Sec of Defense (waiver)
❌Treasury Sec
❌Kavanaugh
 
Tester has to go. Vote @MattForMontana! #MTSen
https://t.co/uzWsuLg5I8",2018-11-04 23:58:10
68,Jon Tester,"""‘I’ve never forgotten it,’ the president of @jontester blocking the nomination of former White House doctor Adm. Ronny Jackson to lead the Department of Veterans Affairs."" #mtpol #mtsen #DefeatTester https://t.co/8EvFdZ5ZL2",2018-11-04 23:57:59
69,Jon Tester,"""@realDonaldTrump …. bashed incumbent Democratic @jontester as someone who ‘will listen to whatever Cryin' Chuck tells him to do.’"" #mtpol #mtsen #DefeatTester https://t.co/XS4cbkEAVR",2018-11-04 23:57:14
70,Matt Rosendale,"John James
Kevin Cramer
Matt Rosendale
Rick Scott
Martha McSally
Marsha Blackburn
Bob Hugin
Ron DeSantis
Ted Cruz
Karin Housley
Leah Vukmir
Josh Hawley
Dean Heller
Mike Braun
Patrick Morrisey
VOTE VOTE VOTE VOTE VOTE",2018-11-04 23:59:57
71,Matt Rosendale,"John James
Kevin Cramer
Matt Rosendale
Rick Scott
Martha McSally
Marsha Blackburn
Bob Hugin
Ron DeSantis
Ted Cruz
Karin Housley
Leah Vukmir
Josh Hawley
Dean Heller
Mike Braun
Patrick Morrisey
VOTE VOTE VOTE VOTE VOTE",2018-11-04 23:59:56
72,Matt Rosendale,"John James
Kevin Cramer
Matt Rosendale
Rick Scott
Martha McSally
Marsha Blackburn
Bob Hugin
Ron DeSantis
Ted Cruz
Karin Housley
Leah Vukmir
Josh Hawley
Dean Heller
Mike Braun
Patrick Morrisey
VOTE VOTE VOTE VOTE VOTE",2018-11-04 23:59:53
73,Matt Rosendale,"John James
Kevin Cramer
Matt Rosendale
Rick Scott
Martha McSally
Marsha Blackburn
Bob Hugin
Ron DeSantis
Ted Cruz
Karin Housley
Leah Vukmir
Josh Hawley
Dean Heller
Mike Braun
Patrick Morrisey
VOTE VOTE VOTE VOTE VOTE",2018-11-04 23:59:52
74,Matt Rosendale,"John James
Kevin Cramer
Matt Rosendale
Rick Scott
Martha McSally
Marsha Blackburn
Bob Hugin
Ron DeSantis
Ted Cruz
Karin Housley
Leah Vukmir
Josh Hawley
Dean Heller
Mike Braun
Patrick Morrisey
VOTE VOTE VOTE VOTE VOTE",2018-11-04 23:59:51
75,Matt Rosendale,"John James
Kevin Cramer
Matt Rosendale
Rick Scott
Martha McSally
Marsha Blackburn
Bob Hugin
Ron DeSantis
Ted Cruz
Karin Housley
Leah Vukmir
Josh Hawley
Dean Heller
Mike Braun
Patrick Morrisey
VOTE VOTE VOTE VOTE VOTE",2018-11-04 23:59:44
76,Matt Rosendale,"John James
Kevin Cramer
Matt Rosendale
Rick Scott
Martha McSally
Marsha Blackburn
Bob Hugin
Ron DeSantis
Ted Cruz
Karin Housley
Leah Vukmir
Josh Hawley
Dean Heller
Mike Braun
Patrick Morrisey
VOTE VOTE VOTE VOTE VOTE",2018-11-04 23:59:41
77,Matt Rosendale,"John James
Kevin Cramer
Matt Rosendale
Rick Scott
Martha McSally
Marsha Blackburn
Bob Hugin
Ron DeSantis
Ted Cruz
Karin Housley
Leah Vukmir
Josh Hawley
Dean Heller
Mike Braun
Patrick Morrisey
VOTE VOTE VOTE VOTE VOTE",2018-11-04 23:59:39
78,Matt Rosendale,"John James
Kevin Cramer
Matt Rosendale
Rick Scott
Martha McSally
Marsha Blackburn
Bob Hugin
Ron DeSantis
Ted Cruz
Karin Housley
Leah Vukmir
Josh Hawley
Dean Heller
Mike Braun
Patrick Morrisey
VOTE VOTE VOTE VOTE VOTE",2018-11-04 23:59:37
79,Matt Rosendale,"John James
Kevin Cramer
Matt Rosendale
Rick Scott
Martha McSally
Marsha Blackburn
Bob Hugin
Ron DeSantis
Ted Cruz
Karin Housley
Leah Vukmir
Josh Hawley
Dean Heller
Mike Braun
Patrick Morrisey
VOTE VOTE VOTE VOTE VOTE",2018-11-04 23:59:29
80,Josh Hawley,"John James
Kevin Cramer
Matt Rosendale
Rick Scott
Martha McSally
Marsha Blackburn
Bob Hugin
Ron DeSantis
Ted Cruz
Karin Housley
Leah Vukmir
Josh Hawley
Dean Heller
Mike Braun
Patrick Morrisey
VOTE VOTE VOTE VOTE VOTE",2018-11-04 23:59:57
81,Josh Hawley,"John James
Kevin Cramer
Matt Rosendale
Rick Scott
Martha McSally
Marsha Blackburn
Bob Hugin
Ron DeSantis
Ted Cruz
Karin Housley
Leah Vukmir
Josh Hawley
Dean Heller
Mike Braun
Patrick Morrisey
VOTE VOTE VOTE VOTE VOTE",2018-11-04 23:59:56
82,Josh Hawley,"John James
Kevin Cramer
Matt Rosendale
Rick Scott
Martha McSally
Marsha Blackburn
Bob Hugin
Ron DeSantis
Ted Cruz
Karin Housley
Leah Vukmir
Josh Hawley
Dean Heller
Mike Braun
Patrick Morrisey
VOTE VOTE VOTE VOTE VOTE",2018-11-04 23:59:53
83,Josh Hawley,"John James
Kevin Cramer
Matt Rosendale
Rick Scott
Martha McSally
Marsha Blackburn
Bob Hugin
Ron DeSantis
Ted Cruz
Karin Housley
Leah Vukmir
Josh Hawley
Dean Heller
Mike Braun
Patrick Morrisey
VOTE VOTE VOTE VOTE VOTE",2018-11-04 23:59:52
84,Josh Hawley,"John James
Kevin Cramer
Matt Rosendale
Rick Scott
Martha McSally
Marsha Blackburn
Bob Hugin
Ron DeSantis
Ted Cruz
Karin Housley
Leah Vukmir
Josh Hawley
Dean Heller
Mike Braun
Patrick Morrisey
VOTE VOTE VOTE VOTE VOTE",2018-11-04 23:59:51
85,Josh Hawley,"John James
Kevin Cramer
Matt Rosendale
Rick Scott
Martha McSally
Marsha Blackburn
Bob Hugin
Ron DeSantis
Ted Cruz
Karin Housley
Leah Vukmir
Josh Hawley
Dean Heller
Mike Braun
Patrick Morrisey
VOTE VOTE VOTE VOTE VOTE",2018-11-04 23:59:44
86,Josh Hawley,"John James
Kevin Cramer
Matt Rosendale
Rick Scott
Martha McSally
Marsha Blackburn
Bob Hugin
Ron DeSantis
Ted Cruz
Karin Housley
Leah Vukmir
Josh Hawley
Dean Heller
Mike Braun
Patrick Morrisey
VOTE VOTE VOTE VOTE VOTE",2018-11-04 23:59:41
